timestamp,verdict,confidence,email_snippet
2026-04-25 19:08:03,SPAM,0.9565,You've received a private message from a recruiter. Click the link to view the j
2026-04-25 19:08:03,HAM,0.6059,"Hi Mom, just calling to check in and see how the garden is doing. Give me a call"
2026-04-25 19:08:03,HAM,0.9082,Can you please send me the login credentials for the staging server? I need to t
2026-04-25 19:08:03,HAM,0.8495,Your Netflix subscription has expired. Please update your payment information at
2026-04-25 19:08:04,HAM,0.7760,Don't forget to submit your timesheet by the end of the day. Have a good weekend
2026-04-25 19:08:04,HAM,0.9956,The library books you requested are now available for pickup. Please bring your 
2026-04-25 19:08:04,SPAM,0.9992,"CONGRATULATIONS! You have been selected as the winner of the $1,000,000 Mega Lot"
2026-04-25 19:08:04,SPAM,0.9952,"Get rich quick! Earn $5,000 a week working from home with no experience. Just pa"
2026-04-25 19:08:04,SPAM,0.9942,Urgent: Your account access has been restricted. Click here to verify your ident
2026-04-25 19:08:05,HAM,0.9787,"Hey, are we still on for dinner tonight? I was thinking about that new Italian p"
2026-04-25 19:08:05,SPAM,0.9938,Re: Investment Opportunity. Invest in our new cryptocurrency token before it hit
2026-04-25 19:08:05,HAM,0.9662,I've finished the initial analysis of the dataset. I'll send over the Jupyter no
2026-04-25 19:08:05,HAM,0.9916,Thanks for the birthday wishes! It was a great day. Hope you're doing well.
2026-04-25 19:08:06,SPAM,0.8941,Your flight for Tokyo is confirmed. Check-in is now open. You can view your boar
2026-04-25 19:08:06,SPAM,0.9899,Lose 15 pounds in 3 days with this one weird trick! Doctors are stunned. Limited
2026-04-25 19:08:06,SPAM,0.9552,"RE: Hi, I'm a local single in your area and I saw your profile. Click here to se"
2026-04-25 19:08:06,HAM,0.9917,"Hi team, just a reminder that our weekly sync is moved to 3 PM today. See you al"
2026-04-25 19:08:06,HAM,0.9151,Final Notice: Your invoice #99281 is overdue. Please download the attached zip f
2026-04-25 19:08:07,HAM,0.9956,Attached is the final draft of the project proposal for your review. Let me know
2026-04-25 19:08:07,SPAM,0.9405,Official Microsoft Support: We detected a virus on your system. Call 1-800-555-0
2026-04-26 23:33:13,SPAM,0.9987,Subject: Urgent Notification: Final Notice Regarding Your Inheritance Body: Dear
2026-04-26 23:37:46,SPAM,0.9987,Subject: Urgent Notification: Final Notice Regarding Your Inheritance Body: Dear
2026-04-26 23:38:53,SPAM,0.9967,Subject: Security Alert: Your Account Has Been Compromised Body: We detected an 
2026-04-26 23:40:00,HAM,0.9997,Subject: Invoice #884920 - Payment Overdue Body: Attached is the invoice for you
2026-04-26 23:40:42,SPAM,0.9565,You've received a private message from a recruiter. Click the link to view the j
2026-04-26 23:40:42,HAM,0.6059,"Hi Mom, just calling to check in and see how the garden is doing. Give me a call"
2026-04-26 23:40:42,HAM,0.9082,Can you please send me the login credentials for the staging server? I need to t
2026-04-26 23:40:43,HAM,0.8495,Your Netflix subscription has expired. Please update your payment information at
2026-04-26 23:40:43,HAM,0.7760,Don't forget to submit your timesheet by the end of the day. Have a good weekend
2026-04-26 23:40:43,HAM,0.9956,The library books you requested are now available for pickup. Please bring your 
2026-04-26 23:40:43,SPAM,0.9992,"CONGRATULATIONS! You have been selected as the winner of the $1,000,000 Mega Lot"
2026-04-26 23:40:44,SPAM,0.9952,"Get rich quick! Earn $5,000 a week working from home with no experience. Just pa"
2026-04-26 23:40:44,SPAM,0.9942,Urgent: Your account access has been restricted. Click here to verify your ident
2026-04-26 23:40:44,HAM,0.9787,"Hey, are we still on for dinner tonight? I was thinking about that new Italian p"
2026-04-26 23:40:44,SPAM,0.9938,Re: Investment Opportunity. Invest in our new cryptocurrency token before it hit
2026-04-26 23:40:44,HAM,0.9662,I've finished the initial analysis of the dataset. I'll send over the Jupyter no
2026-04-26 23:40:45,HAM,0.9916,Thanks for the birthday wishes! It was a great day. Hope you're doing well.
2026-04-26 23:40:45,SPAM,0.8941,Your flight for Tokyo is confirmed. Check-in is now open. You can view your boar
2026-04-26 23:40:45,SPAM,0.9899,Lose 15 pounds in 3 days with this one weird trick! Doctors are stunned. Limited
2026-04-26 23:40:45,SPAM,0.9552,"RE: Hi, I'm a local single in your area and I saw your profile. Click here to se"
2026-04-26 23:40:45,HAM,0.9917,"Hi team, just a reminder that our weekly sync is moved to 3 PM today. See you al"
2026-04-26 23:40:46,HAM,0.9151,Final Notice: Your invoice #99281 is overdue. Please download the attached zip f
2026-04-26 23:40:46,HAM,0.9956,Attached is the final draft of the project proposal for your review. Let me know
2026-04-26 23:40:46,SPAM,0.9405,Official Microsoft Support: We detected a virus on your system. Call 1-800-555-0
